source_id,claim_supported,url,page_or_document_title,publisher,source_type,publication_or_update_date,access_date,geography,relevant_excerpt_or_observation,primary_or_secondary,reliability_score,verification_status,conflicting_evidence,researcher_notes
S-001,US total construction spending is approximately $2.17T at a seasonally adjusted annual rate as of June 2026,https://www.census.gov/construction/c30/pdf/release.pdf,"Monthly Construction Spending, June 2026",US Census Bureau,Government agency statistical release,2026-08-03,2026-08-08,US,"Search index reports: construction spending during June 2026 estimated at a seasonally adjusted annual rate of $2,166.5 billion; 3.2% below the June 2025 estimate of $2,237.7 billion.",Primary,5,UNVERIFIED-SNIPPET,None found,"DIRECT FETCH BLOCKED: WebFetch returned EGRESS_BLOCKED for www.census.gov on 2026-08-08. Figure comes from a search-index snippet, not from reading the release. MUST be manually verified before use as [FACT]. TOP-DOWN ANCHOR ONLY — this is total construction value (ladder rung 1) and must NEVER be presented as Vektrum's addressable market."
S-002,Bank-held construction and land development loans outstanding are on the order of $450B,https://www.fdic.gov/analysis/2026-risk-review-full.pdf,Risk Review 2026,FDIC,Government agency analytical report,2026,2026-08-08,US,"Search index reports C&D loans totaling approximately $453 billion per Q1 2026 FDIC-insured bank data.",Primary,5,UNVERIFIED-SNIPPET,"See S-003 — a same-search snippet reports $427.4B (large domestic banks) plus $304.8B (small domestic banks), which sums to ~$732B and contradicts a $450B total.","Fetch not attempted after repeated EGRESS_BLOCKED results on other .gov domains. The internal inconsistency between S-002 and S-003 is unresolved and is itself a finding: do not use any C&D figure until one authoritative table is read directly."
S-003,Construction and land development loans at all commercial banks were $450.6B as of 2026-03-25,https://fred.stlouisfed.org/series/CLDACBW027SBOG,Construction and Land Development Loans All Commercial Banks,"Federal Reserve Board (H.8), via FRED / St. Louis Fed",Government agency dataset,2026-03-25,2026-08-08,US,"Search index reports $450.6B for all commercial banks as of 2026-03-25; same snippet reports $427.4B large domestic and $304.8B small domestic as of 2026-03-11.",Primary,5,UNVERIFIED-SNIPPET,"Internally inconsistent — see conflicting figures in the excerpt. Large + small cannot exceed the all-banks total.","DIRECT FETCH BLOCKED: EGRESS_BLOCKED for fred.stlouisfed.org on 2026-08-08. The large/small split is almost certainly a snippet-assembly error across different series, but that cannot be confirmed without reading H.8 directly. Treat the whole C&D figure as unresolved."
S-004,"Built launched an agentic AI ""Draw Agent"" that approves construction loan draws in minutes and enforces lender policies",https://www.businesswire.com/news/home/20251104739836/en/Built-Launches-Draw-Agent-to-Approve-Construction-Loan-Draws-in-Minutes,Built Launches Draw Agent to Approve Construction Loan Draws in Minutes,Businesswire (company press release),Company announcement / press release,2025-11-04,2026-08-08,US,"Search index reports: first agentic AI offering; Draw Agent processes draws in under three minutes, flags twice the risks of manual review, and enforces each lender's own policies automatically.",Primary (company statement about itself),3,UNVERIFIED-SNIPPET,None found yet,"MOST COMPETITIVELY MATERIAL SOURCE IN THE LOG. Directly stresses assumption A-20 (competitor AI is advisory not gating) and A-12/A-19 (incumbents advise rather than enforce). Note the word 'approve' in the title and 'enforces' in the body — but a press release is a marketing claim, not a capability spec. MUST verify against official product documentation what authority Draw Agent actually holds: does it recommend to a human approver, or does it decide? Reliability scored 3 because it is primary as to the company's claims but promotional in nature."
S-005,"Built states 300+ lenders, 17 of the top 25 US lenders, and $317B+ in real estate dollars on its platform",https://getbuilt.com/software-for-lenders/,Lending Software | Built,Built Technologies,Official company product/marketing page,Unknown — undated,2026-08-08,US,"Search index reports: manages the full lifecycle for 300+ lenders including 17 of the top 25 US lenders, with $317B+ in real estate dollars on its platform.",Primary (vendor self-report),3,UNVERIFIED-SNIPPET,None found,"Vendor marketing claim, unaudited and undated. Useful as an indicator of incumbent penetration in H-SEG-1 (construction lenders) — if accurate, most large US construction lenders already have a platform relationship, which raises the displacement bar and supports a partnership/embedded strategy over displacement. Do not cite the dollar figure as market data; it is a platform-volume claim, not a market measure."
S-006,"Land Gorilla provides construction loan administration, draw processing, inspections, document processing, risk scoring, and lien monitoring",https://landgorilla.com/ecosystem/,Construction Loan Management Platform | Land Gorilla,Land Gorilla,Official company product page,Unknown — undated,2026-08-08,US,"Search index reports an ecosystem spanning loan administration software, borrower portal (OneSite), AI document processing, inspection solutions, risk scoring, lien monitoring, and loan servicing. Configurable user permissions, alerts, and workflows to match internal processes and risk tolerances.",Primary (vendor self-report),3,UNVERIFIED-SNIPPET,None found,"The phrase 'configurable ... to match internal processes and risk tolerances' suggests policy configuration, which is not the same as non-bypassable enforcement — but that distinction cannot be resolved from a snippet. This is precisely the question Phase 0 kill test #2 must answer from official product documentation."
S-007,"California regulates escrow and joint control agents under the Escrow Law; fund/joint control escrows are within scope and the burden of proving an exemption falls on the party claiming it",https://dfpi.ca.gov/regulated-industries/escrow-law/about-the-escrow-law/,About the Escrow Law,California Department of Financial Protection and Innovation (DFPI),Government regulator publication,Unknown — undated,2026-08-08,US-CA,"Search index reports: Escrow Law is Division 6 of the California Financial Code (§17000 et seq.), regulations at 10 CCR §1700 et seq.; the Department licenses escrow agents, joint control agents, and internet escrow agents; fund or joint control escrows include transactions specified in FC §17005.1; the burden of proving an exemption is on the person claiming it.",Primary,5,UNVERIFIED-SNIPPET,None found,"REGULATORY QUESTION, NOT A CONCLUSION. Relevant to A-27. The burden-of-proof point is the operative one for Vektrum: a party asserting it falls outside the regime must be able to prove it. Whether authorization-without-custody is within or outside scope is a question for qualified counsel — this log entry does not answer it and must never be cited as if it did."
S-008,Nevada licenses and bonds construction controls under NRS Chapter 627,https://www.leg.state.nv.us/nrs/NRS-627.html,NRS Chapter 627 — Construction Controls,Nevada Legislature,Statute,Unknown — current codification,2026-08-08,US-NV,"Search index reports: as a condition of doing business each construction control must deposit and maintain a surety bond with the State Contractors' Board; chapter applies to contractors required to obtain construction control services under NRS 624.264, 624.323, 624.890 or 624.960; bond provisions do not apply to savings and loan associations, savings banks, state banks, national banking associations, title insurers, or underwritten title insurance companies licensed in Nevada.",Primary,5,UNVERIFIED-SNIPPET,None found,"DIRECT FETCH BLOCKED: EGRESS_BLOCKED for www.leg.state.nv.us on 2026-08-08. Demonstrates that at least one state has a dedicated licensing regime named for construction disbursement control. The bank/title exemptions are notable — they suggest the regime contemplates who performs this function. Question for counsel, not a conclusion. Relevant to A-27."
S-009,NIST SP 800-63B defines Authenticator Assurance Level 2 (AAL2),https://pages.nist.gov/800-63-3/sp800-63b.html,NIST SP 800-63B Digital Identity Guidelines — Authentication and Lifecycle Management,NIST,Government standard,2017 (with errata),2026-08-08,US,"Not read. Fetch blocked before any content was retrieved.",Primary,5,INACCESSIBLE,None,"DIRECT FETCH BLOCKED: EGRESS_BLOCKED for pages.nist.gov on 2026-08-08. Logged as a placeholder because Vektrum's AAL2 posture (VEKTRUM_CONTEXT.md §4) will need an authoritative definition when security posture is used in buyer-facing material. No claim is currently sourced to this entry."
S-INT-001,"Vektrum product truth: 10-condition public gate, funder-triggered release, admins cannot release, AI is a precondition, append-only hash-chained tamper-evident audit, two execution rails",/home/user/Vektrum-Governance-/docs/site-positioning-source-of-truth.md,Vektrum — Site Positioning Source of Truth,Vektrum (internal),Internal product document,2026-04-25,2026-08-08,US,"Binding internal reference for public copy. Sections 1-12 define approved and banned language across custody, AI, admin/role, gate, and audit claims.",Primary (internal),5,VERIFIED,"See VEKTRUM_CONTEXT.md §10 conflicts C1, C2, C4",Internal document — establishes what Vektrum may claim about itself. NOT market evidence. Never cite as evidence that a market need exists.
