criterion,weight,rubric_1,rubric_3,rubric_5,segment_a_score,segment_a_evidence,segment_a_source_ids,segment_a_confidence,segment_b_score,segment_b_evidence,segment_b_source_ids,segment_b_confidence,segment_c_score,segment_c_evidence,segment_c_source_ids,segment_c_confidence,notes
organization_type_fit,3,"Not a funder; no release authority","Sometimes the funder, structure varies","Always the funder; holds release authority",,,,,,,,,,,,,"Vektrum's release trigger belongs to the funder (VEKTRUM_CONTEXT.md 3). A segment that does not hold release authority cannot buy the core value. This is a gating criterion, not just a weighted one — score 1 here should trigger a re-examination of whether the segment belongs in the comparison at all."
construction_lending_or_investment_volume,3,"<$25M/yr","$25M-$250M/yr",">$250M/yr",,,,,,,,,,,,,Must be sourced; do not estimate from company size alone
project_count,2,"<10 active","10-100 active",">100 active",,,,,,,,,,,,,
average_project_size,2,"<$500K","$500K-$5M",">$5M",,,,,,,,,,,,,Interacts with the per-release fee model; low-value draws may not clear a minimum
draw_frequency,3,"<4 draws/project/yr","4-8 draws/project/yr",">8 draws/project/yr",,,,,,,,,,,,,Primary driver of transaction volume and therefore of revenue per account
current_workflow,3,"Mature platform deeply embedded","Mixed platform and manual","Spreadsheets, email, manual checklists",,,,,,,,,,,,,"High score means low displacement cost. Test A-13: the status quo may be the real incumbent"
internal_vs_outsourced_fund_control,2,"Fully outsourced to a licensed fund control company","Mixed","Fully internal",,,,,,,,,,,,,"Outsourced control may mean the fund control company is the buyer, the channel, or the competitor — determine which before scoring"
technology_maturity,2,"No API capability, no integration staff","Some integration capability","Modern stack, API-first, dedicated integration resource",,,,,,,,,,,,,
compliance_burden,3,"Unregulated, no examination","Some oversight","Supervised and examined; documented disbursement controls required",,,,,,,,,,,,,"Tests A-14: examination pressure may be a stronger buying trigger than efficiency"
cost_of_payment_delay_or_error,3,"Absorbed easily, no measurable cost","Material but tolerated","Documented losses, write-offs, or examiner findings",,,,,,,,,,,,,Requires a documented dated instance to score above 3
buying_authority,3,"No identifiable budget holder for infrastructure","Budget exists but committee is diffuse","Single identifiable economic buyer with budget",,,,,,,,,,,,,Score from interviews only; do not infer from org charts
integration_complexity,2,"Core system replacement required","Moderate integration","Standalone pilot possible with no integration",,,,,,,,,,,,,Inverted scale: 5 means easiest
procurement_friction,2,"Full vendor risk review plus SOC 2 required","Security questionnaire","Founder-level decision, minimal review",,,,,,,,,,,,,"Vektrum is not SOC 2 certified (VEKTRUM_CONTEXT.md 4). Score honestly — this is an adoption barrier, not a detail"
urgency,3,"No trigger; ambient dissatisfaction","Known problem, no deadline","Active incident, examiner finding, or deadline",,,,,,,,,,,,,
willingness_to_pilot,3,"No history of piloting new vendors","Occasional pilots","Actively piloting; named pilot budget",,,,,,,,,,,,,From interviews only
WEIGHTED_TOTAL,,,,,,,,,,,,,,,,,"Sum of (weight x score). Report alongside the count of criteria scored on hypothesis rather than evidence — a high total built on unvalidated scores is not a high total."
EVIDENCE_COVERAGE,,,,,,,,,,,,,,,,,"Percentage of criteria scored with a logged source ID rather than a hypothesis. Report this next to every weighted total. Below ~50 percent, the comparison is not yet decision-grade."
